STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
USC00081306,"CAPE FLORIDA, FL US",01/01/22,,0,77,85,69,78,,255,,
USC00081306,"CAPE FLORIDA, FL US",01/02/22,,0,81,85,77,78,,13,,
USC00081306,"CAPE FLORIDA, FL US",01/03/22,,0,80,85,75,77,,141,,
USC00081306,"CAPE FLORIDA, FL US",01/04/22,,0,74,84,64,70,,319,,
USC00081306,"CAPE FLORIDA, FL US",01/05/22,,0.27,75.5,81,70,74,,238,,
USC00081306,"CAPE FLORIDA, FL US",01/06/22,,1.06,71.5,81,62,64,,220,,
USC00081306,"CAPE FLORIDA, FL US",01/07/22,,0,71,78,64,77,,342,,
USC00081306,"CAPE FLORIDA, FL US",01/08/22,,0.03,79,84,74,76,,315,,
USC00081306,"CAPE FLORIDA, FL US",01/09/22,,0.49,77.5,81,74,77,,132,,
USC00081306,"CAPE FLORIDA, FL US",01/10/22,,0.01,76,81,71,71,,267,,
USC00081306,"CAPE FLORIDA, FL US",01/11/22,,0,75,82,68,68,,39,,
USC00081306,"CAPE FLORIDA, FL US",01/12/22,,2.77,73.5,79,68,73,,107,,
USC00081306,"CAPE FLORIDA, FL US",01/13/22,,1.33,72.5,78,67,68,,349,,
USC00081306,"CAPE FLORIDA, FL US",01/14/22,,0.01,68.5,79,58,60,,40,,
USC00081306,"CAPE FLORIDA, FL US",01/15/22,,0,61,74,48,50,,273,,
USC00081306,"CAPE FLORIDA, FL US",01/16/22,,0,63.5,77,50,74,,312,,
USC00081306,"CAPE FLORIDA, FL US",01/17/22,,1.21,70,79,61,63,,177,,
USC00081306,"CAPE FLORIDA, FL US",01/18/22,,0,63,75,51,55,,41,,
USC00081306,"CAPE FLORIDA, FL US",01/19/22,,0,61.5,69,54,69,,25,,
USC00081306,"CAPE FLORIDA, FL US",01/20/22,,0.14,71,77,65,73,,202,,
USC00081306,"CAPE FLORIDA, FL US",01/21/22,,0.17,75.5,81,70,71,,88,,
USC00081306,"CAPE FLORIDA, FL US",01/22/22,,0.01,76,83,69,71,,336,,
USC00081306,"CAPE FLORIDA, FL US",01/23/22,,0.04,70,80,60,60,,322,,
USC00081306,"CAPE FLORIDA, FL US",01/24/22,,0,55,65,45,46,,314,,
USC00081306,"CAPE FLORIDA, FL US",01/25/22,,0,55,64,46,52,,101,,
USC00081306,"CAPE FLORIDA, FL US",01/26/22,,0,64,76,52,73,,95,,
USC00081306,"CAPE FLORIDA, FL US",01/27/22,,0.04,75,81,69,69,,61,,
USC00081306,"CAPE FLORIDA, FL US",01/28/22,,0,71.5,79,64,64,,138,,
USC00081306,"CAPE FLORIDA, FL US",01/29/22,,0,63,75,51,51,,83,,
USC00081306,"CAPE FLORIDA, FL US",01/30/22,,0,51,60,42,43,,310,,
USC00081306,"CAPE FLORIDA, FL US",01/31/22,,0,53,63,43,54,,325,,
USC00081306,"CAPE FLORIDA, FL US",02/01/22,,0,64,74,54,69,,304,,
USC00081306,"CAPE FLORIDA, FL US",02/02/22,,0,72.5,76,69,72,,73,,
USC00081306,"CAPE FLORIDA, FL US",02/03/22,,0,75.5,79,72,74,,88,,
USC00081306,"CAPE FLORIDA, FL US",02/04/22,,0,77,81,73,74,,253,,
USC00081306,"CAPE FLORIDA, FL US",02/05/22,,0,73,83,63,65,,106,,
USC00081306,"CAPE FLORIDA, FL US",02/06/22,,0,73,81,65,68,,209,,
USC00081306,"CAPE FLORIDA, FL US",02/07/22,,0,72.5,82,63,69,,349,,
USC00081306,"CAPE FLORIDA, FL US",02/08/22,,0,73,82,64,70,,314,,
USC00081306,"CAPE FLORIDA, FL US",02/09/22,,0,74.5,82,67,68,,325,,
USC00081306,"CAPE FLORIDA, FL US",02/10/22,,0.49,64,69,59,60,,295,,
USC00081306,"CAPE FLORIDA, FL US",02/11/22,,0,70,80,60,75,,83,,
USC00081306,"CAPE FLORIDA, FL US",02/12/22,,0,75,82,68,71,,215,,
USC00081306,"CAPE FLORIDA, FL US",02/13/22,,0,77.5,84,71,77,,107,,
USC00081306,"CAPE FLORIDA, FL US",02/14/22,,0.69,66.5,78,55,57,,146,,
USC00081306,"CAPE FLORIDA, FL US",02/15/22,,0,64.5,72,57,71,,263,,
USC00081306,"CAPE FLORIDA, FL US",02/16/22,,0,74,77,71,74,,230,,
USC00081306,"CAPE FLORIDA, FL US",02/17/22,,0.06,76,79,73,76,,226,,
